순위,제목,저자,가격
1,트렌드 코리아 2023,김난도 외 ·  미래의창   · 2022.10.05 출시,17,100원
2,사랑은 그렇게 하는 것이 아니다,김달 ·  빅피시   · 2022.10.19 출시,14,850원
3,엄마의 말하기 연습(20만부 기념 스페셜 에디션),박재연 ·  한빛라이프   · 2022.10.05 출시,13,320원
4,반짝이는 하루? 그게 오늘이야,레슬리 마샹 외 ·  미디어숲   · 2022.10.20 출시,15,120원
5,하얼빈,김훈 ·  문학동네   · 2022.08.03 출시,14,400원
6,세상에서 가장 쉬운 본질육아,지나영 ·  21세기북스   · 2022.09.28 출시,16,920원
7,아버지의 해방일지,정지아 ·  창비   · 2022.09.02 출시,13,500원
8,불편한 편의점 2,김호연 ·  나무옆의자   · 2022.08.10 출시,12,600원
9,2022 하반기 에듀윌 취업 온라인 SKCT SK그룹 종합역량검사 통합 기본서,에듀윌 취업연구소 ·  에듀윌   · 2022.06.04 출시,20,700원
10,역행자,자청 ·  웅진지식하우스   · 2022.06.03 출시,15,750원
11,잘될 수밖에 없는 너에게,최서영 ·  북로망스   · 2022.08.18 출시,14,400원
12,바자(BAZAAR)(2022년 11월호),허스트중앙 편집부 ·  허스트중앙   · 2022.10.31 출시,12,260원
13,바자(BAZAAR)(2022년 11월호)(B형),허스트중앙 편집부 ·  허스트중앙   · 2022.10.31 출시,12,260원
14,나는 나를 바꾸기로 했다,우즈훙 외 ·  리드리드출판   · 2022.10.12 출시,14,220원
15,불편한 편의점(40만부 기념 벚꽃 에디션),김호연 ·  나무옆의자   · 2021.04.20 출시,12,600원
16,부의 치트키,김성공 ·  토네이도   · 2022.10.19 출시,15,300원
17,2022 하반기 해커스 GSAT 삼성직무적성검사 실전모의고사 8회분(수리논리/추리),해커스 취업교육연구소 ·  챔프스터디   · 2022.07.07 출시,16,110원
18,올리버쌤의 미국식 아이 영어 습관 365,올리버 그랜트 외 ·  브라이트   · 2022.10.06 출시,20,700원
19,마흔에 읽는 니체,장재형 ·  유노북스   · 2022.09.01 출시,14,400원
20,바자(BAZAAR)(2022년 11월호)(C형),허스트중앙 편집부 ·  허스트중앙   · 2022.10.31 출시,12,260원
21,작은 땅의 야수들,김주혜 외 ·  다산책방   · 2022.09.28 출시,16,200원
22,단순한 열정,아니 에르노 외 ·  문학동네   · 2015.03.30 출시,9,000원
23,심리학이 분노에 답하다,충페이충 외 ·  미디어숲   · 2022.09.30 출시,16,020원
24,파친코 2,이민진 외 ·  인플루엔셜   · 2022.08.25 출시,14,220원
25,파친코 1,이민진 외 ·  인플루엔셜   · 2022.08.05 출시,14,220원
26,원씽(The One Thing)(리커버 특별판),게리 켈러 외 ·  비즈니스북스   · 2013.08.30 출시,12,600원
27,이 책은 돈 버는 법에 관한 이야기,고명환 ·  라곰   · 2022.09.19 출시,15,120원
28,그릿(100쇄 기념 리커버 에디션),앤절라 더크워스 외 ·  비즈니스북스   · 2019.02.20 출시,14,400원
29,부자 아빠 가난한 아빠 1(20주년 특별 기념판),로버트 기요사키 외 ·  민음인   · 2018.02.22 출시,14,220원
30,생각이 많아 우울한 걸까? 우울해서 생각이 많은 걸까?,피아 칼리슨 외 ·  필름(Feelm)   · 2022.09.15 출시,13,500원
31,The Scent of PAGE : 디퓨저 200ml,교보문고 ·  교보문고   · 2018.04.26 출시,45,000원
32,SQL 자격검정 실전문제,한국데이터진흥원 ·  한국데이터산업진흥원   · 2021.10.15 출시,17,820원
33,트렌드 코리아 2023,김난도 외 ·  미래의창   · 2022.09.29(종이책 2022년 10월 05일 출시),13,300원
34,이토록 평범한 미래,김연수 ·  문학동네   · 2022.10.07 출시,12,600원
35,퀀트 투자 무작정 따라하기,강환국 ·  길벗   · 2022.10.10 출시,22,500원
36,사람을 얻는 지혜,발타자르 그라시안 외 ·  타커스   · 2016.03.07 출시,12,420원
37,The Scent of PAGE : 룸스프레이 60ml,교보문고 ·  교보문고   · 2020.03.19 출시,19,000원
38,The Scent of PAGE : 디퓨저 리필액 250ml,교보문고 ·  교보문고   · 2018.04.26 출시,24,000원
39,2022 해커스 SKCT SK그룹 종합역량검사 봉투모의고사,해커스 취업교육연구소 ·  챔프스터디   · 2022.06.16 출시,17,010원
40,데일 카네기 인간관계론,데일 카네기 외 ·  현대지성   · 2019.10.07 출시,10,350원
41,돈의 속성(200쇄 리커버에디션),김승호 ·  스노우폭스북스   · 2020.06.15 출시,16,020원
42,데이터는 어떻게 인생의 무기가 되는가,세스 스티븐스 다비도위츠 외 ·  더퀘스트   · 2022.10.05 출시,16,920원
43,혼자서 종이우산을 쓰고 가다,에쿠니 가오리 외 ·  소담출판사   · 2022.09.20 출시,13,320원
44,저스트. 킵. 바잉.,닉 매기울리 외 ·  서삼독   · 2022.09.21 출시,17,820원
45,믹스(Mix),안성은(Brand Boy) ·  더퀘스트   · 2022.08.16 출시,16,920원
46,너의 이름을 사랑이라 부른다,소강석 ·  시선사   · 2022.09.28 출시,8,100원
47,해외설교(올랜도),박윤식 외 ·  휘선   · 2022.10.11 출시,18,000원
48,오십의 주역공부,김동완 ·  다산초당   · 2022.05.11 출시,16,200원
49,세상의 마지막 기차역,무라세 다케시 외 ·  모모   · 2022.05.09 출시,12,600원
