순위,제목,저자,가격
1,트렌드 코리아 2023,김난도 외 ·  미래의창   · 2022.10.05 출시,17100원
2,사랑은 그렇게 하는 것이 아니다,김달 ·  빅피시   · 2022.10.19 출시,14850원
3,엄마의 말하기 연습(20만부 기념 스페셜 에디션),박재연 ·  한빛라이프   · 2022.10.05 출시,13320원
4,반짝이는 하루 그게 오늘이야,레슬리 마샹 외 ·  미디어숲   · 2022.10.20 출시,15120원
5,하얼빈,김훈 ·  문학동네   · 2022.08.03 출시,14400원
6,세상에서 가장 쉬운 본질육아,지나영 ·  21세기북스   · 2022.09.28 출시,16920원
7,아버지의 해방일지,정지아 ·  창비   · 2022.09.02 출시,13500원
8,불편한 편의점 2,김호연 ·  나무옆의자   · 2022.08.10 출시,12600원
9,2022 하반기 에듀윌 취업 온라인 SKCT SK그룹 종합역량검사 통합 기본서,에듀윌 취업연구소 ·  에듀윌   · 2022.06.04 출시,20700원
10,역행자,자청 ·  웅진지식하우스   · 2022.06.03 출시,15750원
11,잘될 수밖에 없는 너에게,최서영 ·  북로망스   · 2022.08.18 출시,14400원
12,바자(BAZAAR)(2022년 11월호),허스트중앙 편집부 ·  허스트중앙   · 2022.10.31 출시,12260원
13,바자(BAZAAR)(2022년 11월호)(B형),허스트중앙 편집부 ·  허스트중앙   · 2022.10.31 출시,12260원
14,나는 나를 바꾸기로 했다,우즈훙 외 ·  리드리드출판   · 2022.10.12 출시,14220원
15,불편한 편의점(40만부 기념 벚꽃 에디션),김호연 ·  나무옆의자   · 2021.04.20 출시,12600원
16,부의 치트키,김성공 ·  토네이도   · 2022.10.19 출시,15300원
17,2022 하반기 해커스 GSAT 삼성직무적성검사 실전모의고사 8회분(수리논리/추리),해커스 취업교육연구소 ·  챔프스터디   · 2022.07.07 출시,16110원
18,올리버쌤의 미국식 아이 영어 습관 365,올리버 그랜트 외 ·  브라이트   · 2022.10.06 출시,20700원
19,마흔에 읽는 니체,장재형 ·  유노북스   · 2022.09.01 출시,14400원
20,바자(BAZAAR)(2022년 11월호)(C형),허스트중앙 편집부 ·  허스트중앙   · 2022.10.31 출시,12260원
